blkID	Label	tag_code0	tag_code1	tag_code2	tag_code3	tag_code4	tag_code5	tag_code6	tag_code7	tag_code8	tag_code9	tag_code10	tag_code11	tag_code12	tag_code13
blk_38865049064139660	Normal	0	0	1	0	0	0	0	0	0	0	0	0	0	0
blk_38865049064139660	Normal	0	0	0	0	1	0	0	0	0	0	0	0	0	0
blk_-6952295868487656571	Normal	0	0	0	0	0	0	0	0	1	0	0	0	0	0
blk_7128370237687728475	Normal	1	0	0	0	0	0	0	0	0	0	0	0	0	0
blk_8229193803249955061	Normal	0	0	0	0	0	0	1	0	0	0	0	0	0	0
blk_-6670958622368987959	Normal	0	0	1	0	0	0	0	0	0	0	0	0	0	0
blk_3050920587428079149	Normal	0	0	0	0	1	0	0	0	0	0	0	0	0	0
blk_7888946331804732825	Normal	0	0	0	0	0	0	0	0	0	1	0	0	0	0
blk_2377150260128098806	Normal	0	0	0	0	0	0	0	0	0	1	0	0	0	0
blk_572492839287299681	Normal	0	0	0	0	0	0	1	0	0	0	0	0	0	0
blk_3587508140051953248	Normal	0	1	0	0	0	0	0	0	0	0	0	0	0	0
blk_5402003568334525940	Normal	0	0	1	0	0	0	0	0	0	0	0	0	0	0
blk_5792489080791696128	Normal	0	0	0	0	1	0	0	0	0	0	0	0	0	0
blk_1724757848743533110	Normal	0	0	0	0	0	0	0	0	0	0	0	1	0	0
blk_8015913224713045110	Normal	0	0	0	0	0	0	0	0	0	0	1	0	0	0
blk_-5623176793330377570	Normal	0	0	0	0	0	0	0	0	0	1	0	0	0	0
blk_-1727475099218615100	Normal	0	0	0	0	0	0	0	0	1	0	0	0	0	0
blk_5017373558217225674	Normal	0	0	1	0	0	0	0	0	0	0	0	0	0	0
blk_9212264480425680329	Normal	0	0	0	0	0	0	0	0	0	0	1	0	0	0
blk_-7878121102358435702	Normal	0	0	0	0	1	0	0	0	0	0	0	0	0	0
blk_4568434182693165548	Normal	0	0	0	0	0	0	0	0	0	0	1	0	0	0
blk_-5704899712662113150	Normal	0	0	0	0	0	0	0	0	1	0	0	0	0	0
